"PDB"	"rigid_energy_score.start"	"end."	"rigid_energy_score_refe.start"	"end..1"	"energy_score.start"	"end..2"	"energy_score_refe.start"	"end..3"	"restraining_energy_score.start"	"end..4"	"restraining_energy_score_refe.start"	"end..5"	"energy_score_wo_restraining.start"	"end..6"	"energy_score_refe_wo_restraining.start"	"end..7"	"delta_energy_score_end_flex_minus_rig"
"1HCF"	24.214	-12.242	-17.812	-24.412	82175.826	9195.143	102921.867	6479.388	82190.572	9143.255	102982.344	6295.78	-14.746	51.888	-60.477	183.608	64.13
"1HE1"	23176974.941	-17.678	-25.034	-26.738	37785.58	413.154	418.923	356.255	571.329	520.627	538.857	491.726	37214.251	-107.473	-119.934	-135.471	-89.795
"1HE8"	-8.239	-12.603	-14.226	-17.064	161.075	107.839	106.37	81.467	200.815	157.483	151.537	140.404	-39.74	-49.644	-45.167	-58.937	-37.041
"1HIA"	396039.569	-12.659	-34.752	-35.866	398394.855	929.61	153.082	115.193	2377.488	912.669	207.739	179.383	396017.367	16.941	-54.657	-64.19	29.6
"1I2M"	86503131.75	-18.749	-40.174	-43.428	86527726.961	1582.256	29201.855	2457.511	24677.492	1597.107	29304.833	2497.486	86503049.469	-14.851	-102.978	-39.975	3.898
"1I4D"	1180.083	-2.292	-21.519	-25.476	400583.727	70444.555	369158.171	35809.055	399475.778	69160.003	369248.658	34404.619	1107.949	1284.552	-90.487	1404.436	1286.844
"1I9R"	-21.615	-28.207	-21.207	-30.261	6704.254	2305.314	2766.385	1124.39	6790.04	2329.155	2813.365	1201.807	-85.786	-23.841	-46.98	-77.417	4.366
"1IB1"	4935414.604	399.968	-12.742	-20.276	4995016.438	23371.58	256495.116	37656.709	251020.53	21657.402	256587.675	34852.856	4743995.908	1714.178	-92.559	2803.853	1314.21
"1IBR"	56831.413	5034.747	-39.976	-42.022	211933.264	152091.345	180425.051	166300.055	169068.032	152201.842	180613.156	166401.301	42865.232	-110.497	-188.105	-101.246	-5145.244
"1IJK"	-7.827	-18.119	-20.452	-23.899	221.724	174.485	213.444	177.931	263.979	242.054	269.249	247.836	-42.255	-67.569	-55.805	-69.905	-49.45
"1IQD"	1631.589	-24.012	-31.63	-36.966	1734.808	211.725	263.006	212.392	270.106	275.492	322.172	287.975	1464.702	-63.767	-59.166	-75.583	-39.755
"1J2J"	6.543	-16.089	-16.592	-19.837	241.056	194.87	237.811	193.003	265.589	247.577	283.241	251.78	-24.533	-52.707	-45.43	-58.777	-36.618
"1JIW"	8717.263	-17.827	-11.731	-17.195	853885.834	89154.47	817061.227	51528.8	845243.735	88839.589	817160.192	50697.028	8642.099	314.881	-98.965	831.772	332.708
"1JK9"	14106.889	-18.246	-20.026	-23.364	271983.051	8855.629	270165.69	9110.004	271472.643	8702.281	270247.999	8938.056	510.408	153.348	-82.309	171.948	171.594
"1JMO"	35548811.988	-0.615	-23.766	-27.224	35551156.334	594.155	2463.833	566.276	2359.222	592.87	2497.571	562.489	35548797.112	1.285	-33.738	3.787	1.9
"1JPS"	-14.666	-20.919	-25.415	-29.053	13400.152	1224.249	14934.147	3269.838	13457.967	1275.518	15005.557	3250.524	-57.815	-51.269	-71.41	19.314	-30.35
"1JTD"	171.165	-22.272	-20.305	-29.01	41007.57	1682.518	37868.193	2801.348	40933.918	1720.88	37987.328	2708.648	73.652	-38.362	-119.135	92.7	-16.09
"1JTG"	25.601	-27.161	-28.354	-31.677	42902.249	33343.127	42308.843	32306.269	42998.07	33448.472	42463.369	32459.969	-95.821	-105.345	-154.526	-153.7	-78.184
"1JWH"	384900.329	-7.264	-18.525	-24.842	385275.672	524.456	265.977	220.493	417.122	558.375	325.369	297.282	384858.55	-33.919	-59.392	-76.789	-26.655
"1JZD"	39618.358	-13.587	-29.235	-32.269	168974.305	11188.294	127469.327	6770.717	129474.636	10613.39	127553.293	6608.844	39499.669	574.904	-83.966	161.873	588.491
"1K4C"	99.542	-24.896	-28.28	-33.206	234.836	142.967	125.728	85.442	225.346	210.187	185.361	152.457	9.49	-67.22	-59.633	-67.015	-42.324
"1K5D"	53603.652	-23.527	-35.915	-38.562	272118.259	100681.983	237493.077	103043.867	223915.891	100649.528	237648.479	102822.809	48202.368	32.455	-155.402	221.058	55.982
"1K74"	183.031	-31.588	-25.025	-35.337	527.73	273.357	338.004	281.953	452.091	421.205	441.997	425.955	75.639	-147.848	-103.993	-144.002	-116.26
"1KAC"	461.039	-14.922	-16.792	-20.648	3134.804	411.009	2627.743	720.334	2734.486	480.933	2707.151	793.916	400.318	-69.924	-79.408	-73.582	-55.002
"1KKL"	-7.67	-23.379	-21.877	-24.05	406.798	255.702	282.795	242.402	469.749	339.997	357.116	329.25	-62.951	-84.295	-74.321	-86.848	-60.916
"1KLU"	1561.932	-17.164	-16.173	-22.425	8627.884	467.805	29206.845	900.33	7104.987	517.308	29264.938	950.658	1522.897	-49.503	-58.093	-50.328	-32.339
"1KTZ"	30.34	-17.173	-16.829	-20.377	2469.614	891.67	2404.98	413.786	2491.933	911.465	2445.418	453.173	-22.319	-19.795	-40.438	-39.387	-2.622
"1KXP"	2043.792	-24.203	-39.843	-47.533	20231.362	1976.365	18214.271	5114.541	18286.834	2049.538	18358.749	5229.833	1944.528	-73.173	-144.478	-115.292	-48.97
"1KXQ"	302.347	-31.234	-34.319	-36.032	958075.5	6260.161	958169.745	905.994	957973.372	6132.352	958284.093	962.015	102.128	127.809	-114.348	-56.021	159.043
"1LFD"	5565.848	-12.781	-18.933	-19.871	6118.795	289.247	132.465	114.256	588.626	322.068	180.206	170.068	5530.169	-32.821	-47.741	-55.812	-20.04
"1M10"	3335483.274	-0.025	-28.602	-31.771	3414177.455	51419.954	78362.977	53920.199	80138.04	51444.66	78499.098	53985.954	3334039.415	-24.706	-136.121	-65.755	-24.681
"1M27"	30.25	-13.811	3.984	-19.236	128.55	58.771	68.755	43.528	107.643	83.796	77.497	72.822	20.907	-25.025	-8.742	-29.294	-11.214
"1MAH"	1303.281	-24.307	-29.745	-30.966	6757.484	3377.26	5723.463	3633.132	5488.244	3385.789	5782.56	3684.313	1269.24	-8.529	-59.097	-51.181	15.778
"1ML0"	7871.018	-15.023	-33.581	-35.297	815376.259	79330.826	722155.656	123432.119	807545.462	77602.558	722226.958	122206.494	7830.797	1728.268	-71.302	1225.625	1743.291
"1MLC"	138.705	-7.52	-23.489	-28.455	319.709	220.472	299.513	190.985	359.99	267.293	345.423	242.876	-40.281	-46.821	-45.91	-51.891	-39.301
"1MQ8"	9.922	-15.537	-13.966	-18.297	261.041	199.501	255.34	205.888	286.901	260.636	290.305	255.218	-25.86	-61.135	-34.965	-49.33	-45.598
"1NCA"	-22.203	-27.759	-26.504	-32.835	4711.549	918.073	5131.13	2244.425	4774.737	950.772	5197.28	2239.071	-63.188	-32.699	-66.15	5.354	-4.94
"1NSN"	12.512	-18.422	-14.91	-27.163	401.634	326.096	416.112	351.107	444.141	409.821	476.439	437.402	-42.507	-83.725	-60.327	-86.295	-65.303
"1NW9"	154.199	-18.579	-30.557	-33.271	2784.783	2576.866	2562.836	2530.15	2691.562	2681.4	2654.19	2637.231	93.221	-104.534	-91.354	-107.081	-85.955
"1OC0"	98.71	-14.096	-17.845	-23.491	300.54	146.574	268.937	184.002	251.619	170.91	296.255	220.422	48.921	-24.336	-27.318	-36.42	-10.24
"1OFU"	4461.704	-19.24	-29.366	-35.876	4647.01	172.851	174.381	144.391	268.584	251.455	263.094	243.097	4378.426	-78.604	-88.713	-98.706	-59.364
"1OPH"	-1.093	-24.553	-25.065	-29.612	606.451	424.901	403.249	349.998	690.286	527.15	505.383	459.522	-83.835	-102.249	-102.134	-109.524	-77.696
"1OYV"	346723.254	-3.887	-33.638	-36.483	347098.66	295.824	313.624	274.738	477.917	355.989	383.081	359.082	346620.743	-60.165	-69.457	-84.344	-56.278
"1PPE"	-2.592	-27.58	-27.575	-29.24	388017.422	33362.553	397267.341	53057.958	388054.344	32436.461	397316.798	50176.202	-36.922	926.092	-49.457	2881.756	953.672
"1PVH"	7258.087	-13.817	-7.663	-13.495	889437.159	62017.752	915567.57	14789.754	882245.121	59948.18	915640.122	14410.421	7192.038	2069.572	-72.552	379.333	2083.389
"1PXV"	40806473.593	5.241	-30.879	-33.287	40806708.233	645.411	341.447	196.745	432.063	618.486	433.42	292.774	40806276.17	26.925	-91.973	-96.029	21.684
"1QA9"	-10.997	-14.449	-13.331	-16.854	252.489	205.436	295.17	247.414	300.209	258.392	342	300.848	-47.72	-52.956	-46.83	-53.434	-38.507
"1QFW"	-12.189	-25.139	-25.166	-26.761	228.619	170.307	216.199	176.816	271.844	234.629	269.561	240.968	-43.225	-64.322	-53.362	-64.152	-39.183
"1R0R"	-10.191	-20.421	-28.325	-30.207	2443.44	718.879	2407.657	991.286	2478.12	744.685	2454.415	1033.569	-34.68	-25.806	-46.758	-42.283	-5.385
"1R6Q"	706.688	-14.191	-10.288	-16.817	311259.783	30397.098	183855.737	12393.377	310594.614	29520.549	183907.578	12279.537	665.169	876.549	-51.841	113.84	890.74
"1R8S"	6579.497	-5.232	-39.969	-43.111	226134.667	25326.409	222743.864	8090.24	220096.026	23805.025	222857.574	7573.227	6038.641	1521.384	-113.71	517.013	1526.616
"1RKE"	13826900.486	-14.72	-26.463	-30.054	13844775.583	3415.497	26887.932	1844.794	49736.211	3408.95	26965.684	1895.686	13795039.372	6.547	-77.752	-50.892	21.267
"1RLB"	4030897.225	-8.368	-19.648	-23.141	4031119.797	248.041	1838.806	387.96	273.149	315.145	1915.514	466.18	4030846.648	-67.104	-76.708	-78.22	-58.736
"1RV6"	-11.962	-29.699	-25.886	-29.904	4850.938	3305.329	4764.088	3646.641	4906.17	3359.325	4831.939	3667.493	-55.232	-53.996	-67.851	-20.852	-24.297
"1S1Q"	52.753	-15.109	-17.482	-18.252	3106.71	2932.789	3170.174	3035.895	3103.737	2995.985	3236.63	3105.617	2.973	-63.196	-66.456	-69.722	-48.087
"1SBB"	-2.13	-19.768	-17.882	-22.314	224.493	149.894	157.805	129.638	257.37	210.572	209.819	196.179	-32.877	-60.678	-52.014	-66.541	-40.91
"1SYX"	1761.088	-17.55	-13.565	-18.626	4434.729	2680.892	2514.744	2463.828	2685.031	2692.2	2532.763	2497.407	1749.698	-11.308	-18.019	-33.579	6.242
"1T6B"	517.045	-21.124	-22.4	-30.798	541.942	288.176	421.206	260.138	501.861	367.064	503.588	348.264	40.081	-78.888	-82.382	-88.126	-57.764
"1TMQ"	76.946	-19.783	-28.562	-31.6	668564.372	111763.26	687995.586	120184.293	668602.874	110417.791	688105.582	117622.971	-38.502	1345.469	-109.996	2561.322	1365.252
"1UDI"	24732.774	-22.091	-33.979	-36.328	384821.242	76461.647	352648.265	136911.995	360167.272	70679.962	352755.513	132270.593	24653.97	5781.685	-107.248	4641.402	5803.776
"1US7"	-0.11	-16.05	-12.396	-14.61	262.633	193.98	274.061	184.67	313.466	272.689	336.226	267.01	-50.833	-78.709	-62.165	-82.34	-62.659
"1VFB"	-8.531	-23.584	-19.949	-26.909	595.016	510.704	261.043	218.744	344.383	407.967	330.033	295.724	250.633	102.737	-68.99	-76.98	126.321
"1WEJ"	-13.25	-27.108	-22.036	-25.136	3144.817	3051.318	3105.46	3060.789	3197.427	3118.2	3165.14	3130.801	-52.61	-66.882	-59.68	-70.012	-39.774
"1WQ1"	56.54	-21.46	-26.988	-31.483	13213.112	1059.608	13292.304	1978.977	13207.254	1142.456	13390.902	2029.14	5.858	-82.848	-98.598	-50.163	-61.388
"1XD3"	59.226	-18.23	-18.395	-23.318	4921.743	3071.195	4479.958	3022.755	4929.606	3131.012	4547.882	3098.826	-7.863	-59.817	-67.924	-76.071	-41.587
"1XQS"	4391.484	-11.126	-21.444	-40.305	4731.968	409.589	374.567	305.253	431.731	483.447	453.514	407.567	4300.237	-73.858	-78.947	-102.314	-62.732
"1XU1"	732.725	-16.56	-15.848	-19.481	887.898	137.419	230.64	144.446	181.019	177.866	270.351	194.129	706.879	-40.447	-39.711	-49.683	-23.887
"1Z0K"	29.109	-17.284	-14.58	-18.024	424634.729	114140.706	536316.951	159253.067	424631.09	112469.276	536361.087	155357.326	3.639	1671.43	-44.136	3895.741	1688.714
"1Z5Y"	17428.187	-5.36	-19.287	-25.698	331122.194	35465.332	256555.513	15330.703	313730.896	34879.331	256603.86	14686.066	17391.298	586.001	-48.347	644.637	591.361
"1ZHH"	729.89	-12.927	-20.375	-23.432	1107.152	259.427	388.412	256.391	421.201	305.399	444.265	315.089	685.951	-45.972	-55.853	-58.698	-33.045
"1ZHI"	187.144	-19.651	-22.539	-26.636	484401.434	76886.079	467237.944	22049.594	484254.42	74966.145	467297.518	21531.701	147.014	1919.934	-59.574	517.893	1939.585
"1ZLI"	367206.606	135.313	-24.658	-30.928	874295.384	107157.313	611934.236	144552.495	515891.372	103491.612	611999.094	140890.643	358404.012	3665.701	-64.858	3661.852	3530.388
"2A5T"	953.946	-6.886	-16.428	-19.728	33915.413	1686.152	32699.435	2723.687	33327.399	1701.163	32804.216	2791.754	588.014	-15.011	-104.781	-68.067	-8.125
"2A9K"	42792.863	-12.607	-22.302	-25.488	43244.827	436.27	518.166	427.954	518.88	516.776	609.686	524.823	42725.947	-80.506	-91.52	-96.869	-67.899
"2ABZ"	181.472	-20.13	-16.271	-22.18	6147.323	3365.969	3261.384	3129.027	6006.992	3408.341	3318.26	3197.596	140.331	-42.372	-56.876	-68.569	-22.242
"2AJF"	70.339	-22.789	-25.161	-32.358	439.655	253.551	448.065	279.809	429.874	336.592	535.323	373.869	9.781	-83.041	-87.258	-94.06	-60.252
"2AYO"	6849.388	-14.772	14.828	-20.921	629972.497	143425.946	617790.942	46867.556	623388.612	139395.639	617849.434	45211.251	6583.885	4030.307	-58.492	1656.305	4045.079
"2B42"	654.129	-0.008	-37.47	-43.206	75067.199	68920.669	79452.966	75278.808	74508.03	69055.834	79578.537	75375.576	559.169	-135.165	-125.571	-96.768	-135.157
"2B4J"	361.592	-4.716	-15.874	-18.444	520.108	171.685	250.656	152.081	187.399	185.196	288.994	192.773	332.709	-13.511	-38.338	-40.692	-8.795
"2BTF"	9812.261	-9.719	-19.162	-29.165	2301.229	345.469	547.791	328.018	413.034	428.35	629.017	423.202	1888.195	-82.881	-81.226	-95.184	-73.162
"2C0L"	5508.112	-6.295	-12.226	-15.498	209314.79	29713.51	272537.825	21953.887	203851.764	25880.483	272594.17	21695.442	5463.026	3833.027	-56.345	258.445	3839.322
"2CFH"	-10.953	-23.815	-38.779	-44.668	247185.249	42410.473	294290.328	17486.124	247264.45	41299.496	294400.501	17140.72	-79.201	1110.977	-110.173	345.404	1134.792
"2FD6"	234.173	-15.377	-21.872	-30.259	528.199	221.575	194.698	161.029	347.161	264.475	240.278	215.626	181.038	-42.9	-45.58	-54.597	-27.523
"2FJU"	4500.562	-16.086	-18.345	-20.981	4760.056	188.026	158.142	127.459	312.899	259.015	222.474	206.37	4447.157	-70.989	-64.332	-78.911	-54.903
"2G77"	22158.788	-13.183	-21.858	-29.969	22585.245	439.966	494.999	270.153	482.499	496.862	579.665	368.842	22102.746	-56.896	-84.666	-98.689	-43.713
"2GAF"	3548.205	-20.851	-34.208	-36.31	79264.018	63275.669	71496.394	60809.694	75895.517	63450.472	71683.018	60882.589	3368.501	-174.803	-186.624	-72.895	-153.952
